decade	coll	BE going to	will
1860	cut	4	18
1860	dance	4	0
1860	decide	0	16
1860	deliver	0	17
1860	demand	0	15
1860	depend	0	53
1860	destroy	0	17
1860	determine	0	6
1860	develop	0	9
1860	die	30	70
1860	disappear	0	13
1860	discover	0	19
1860	do	67	779
1860	draw	1	19
1860	drink	1	0
1860	drive	3	26
1860	drop	0	17
1860	eat	1	24
1860	enable	0	85
1860	end	4	42
1860	enjoy	1	28
1860	enter	0	27
1860	excuse	0	51
1860	explain	1	35
1860	explode	1	0
1860	face	0	5
1860	fail	3	35
1860	faint	5	0
1860	fall	6	79
1860	feed	0	0
1860	feel	0	76
1860	fight	11	32
1860	fill	0	9
1860	find	12	550
1860	finish	0	0
1860	fire	2	0
1860	fix	1	0
1860	fly	0	10
1860	follow	2	114
